b27149_1,b27149_1 AB599704 Candidatus Phytoplasma asteris Potato purple top phytoplasma(PPT) length=552 (+ strand),reference
b27148_2,b27148_2 AB599695 Candidatus Phytoplasma asteris Clover phyllody phytoplasma(KVF) length=552 (+ strand),reference
b27147_3,b27147_3 AB599701 Candidatus Phytoplasma asteris Leontodon yellows phytoplasma (LEO) length=552 (+ strand),reference
b27146_4,b27146_4 AB599690 Candidatus Phytoplasma asteris Carrot yellows phytoplasma (CA) length=552 (+ strand),reference
b27143_5,b27143_5 AB242233 Candidatus Phytoplasma asteris Lettuce yellows phytoplasma (LY) length=552 (+ strand),reference
b27142_6,b27142_6 AB242232 Candidatus Phytoplasma asteris Tomato yellows phytoplasma (TY) length=552 (+ strand),reference
b27141_7,b27141_7 AB242231 Candidatus Phytoplasma asteris Eggplant dwarf phytoplasma (ED) length=552 (+ strand),reference
b27140_8,b27140_8 AB242235 Candidatus Phytoplasma asteris Marguerite yellows phytoplasma (MarY) length=552 (+ strand),reference
b27139_9,b27139_9 AB242234 Candidatus Phytoplasma asteris Iceland poppy yellows phytoplasma (IPY) length=552 (+ strand),reference
b27136_10,b27136_10 AB599712 Candidatus Phytoplasma asteris Maize bushy stunt phytoplasma (MBS-Col) length=552 (+ strand),reference
b27134_11,b27134_11 AB599711 Candidatus Phytoplasma asteris Carrot yellows phytoplasma(Ca 2006/5) length=552 (+ strand),reference
b27133_12,b27133_12 AB599689 Candidatus Phytoplasma asteris Aster yellows phytoplasma (AY-J) length=552 (+ strand),reference
b27132_13,b27132_13 AB738737 Candidatus Phytoplasma asteris Hydrangea phyllody phytoplasma (HP) length=552 (+ strand),reference
b27131_14,b27131_14 AB599691 Candidatus Phytoplasma asteris American aster yellows phytoplasma (AY-W) length=552 (+ strand),reference
b27130_15,b27130_15 AB599709 Candidatus Phytoplasma asteris Carrot yellows phytoplasma (Ca 2006/9) length=552 (+ strand),reference
b27128_16,b27128_16 AB242237 Candidatus Phytoplasma asteris Porcelain vine witches-broom phytoplasma (PvWB) length=552 (+ strand),reference
b27127_17,b27127_17 AB242236 Candidatus Phytoplasma asteris Sumac witches-broom phytoplasma (SuWB) length=552 (+ strand),reference
b27126_18,b27126_18 AB124810 Candidatus Phytoplasma asteris Paulownia witches-broom phytoplasma (PaWB) length=552 (+ strand),reference
b27125_19,b27125_19 AB124808 Candidatus Phytoplasma asteris Onion yellows phytoplasma (OY-NIM) length=552 (+ strand),reference
b27124_20,b27124_20 AB124807 Candidatus Phytoplasma asteris Onion yellows phytoplasma (OY-M) length=552 (+ strand),reference
XXI-IB,XXI-IB b35242 VIAE01000001.1 Candidatus Phytoplasma pini strain (MDPP),reference
IV-IA,IV-IA b34437 KY779619 Candidatus Phytoplasma palmae (Cocos nucifera phytoplasma),reference
I-IA,I-IA b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma (O2L),reference
I-IIA,I-IIA b27104 AB599694 Candidatus Phytoplasma asteris Grey dogwood stunt phytoplasma (GD),reference
I-IB,I-IB b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma (SF1),reference
I-IIB,I-IIB b27133 AB599689 Candidatus Phytoplasma asteris Aster yellows phytoplasma (AY-J),reference
I-IIIB,I-IIIB b27135 KT444673 Candidatus Phytoplasma asteris Maize bushy stunt phytoplasma (MBS-Ver),reference
