Strain,Best Match,Similarity Coefficient Calculation,F Value,Classification
KJ939976.1_1,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ939983.1_2,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939984.1_3,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939985.1_4,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939986.1_5,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939987.1_6,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ939988.1_7,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ939990.1_8,V-IC,F = ( 2 * 29 ) / ( 29 + 29 ),1.0,Exact match to Cpn60 UT V-IC
KJ939991.1_9,V-IC,F = ( 2 * 29 ) / ( 29 + 29 ),1.0,Exact match to Cpn60 UT V-IC
KJ939992.1_10,V-IC,F = ( 2 * 29 ) / ( 29 + 29 ),1.0,Exact match to Cpn60 UT V-IC
KJ939994.1_11,I-IC,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IC
KJ939995.1_12,I-IF,F = ( 2 * 24 ) / ( 24 + 24 ),1.0,Exact match to Cpn60 UT I-IF
KJ939996.1_13,I-IC,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IC
KJ939997.1_14,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939998.1_15,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ939999.1_16,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ940004.1_17,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940006.1_18,XII-IA,F = ( 2 * 22 ) / ( 22 + 22 ),1.0,Exact match to Cpn60 UT XII-IA
KJ940009.1_19,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ940011.1_20,I-IA,F = ( 2 * 23 ) / ( 23 + 23 ),1.0,Exact match to Cpn60 UT I-IA
KJ940012.1_21,I-IA,F = ( 2 * 22 ) / ( 24 + 23 ),0.94,Probable new subgroup in Cpn60 UT I
KJ940013.1_22,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940014.1_23,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940015.1_24,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940016.1_25,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940017.1_26,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
KJ940018.1_27,I-IB,F = ( 2 * 25 ) / ( 25 + 25 ),1.0,Exact match to Cpn60 UT I-IB
